,S,where,floor,max_floors,rooms_number,condition,bath,shower,balcony,distance_to_subway,subway_station,washer,dishwasher,internet,phone,tv,animals,children,furniture,kitchen_furniture,fridge
0,56,Арбат,17,24,2,дизайнерский,1.0,1.0,1.0,0.4166666666666667,Арбатская,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,41,Очаково-Матвеевское,16,24,1,евроремонт,1.0,0.0,1.0,2.0833333333333335,Проспект Вернадского,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2,140,Дорогомилово,4,11,4,дизайнерский,1.0,1.0,0.0,1.0833333333333333,Киевская,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,47,Киевский,4,5,2,косметический,0.0,0.0,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
4,40,Раменки,12,17,1,косметический,1.0,0.0,0.0,5,Киевская,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
5,45,Рязановское,2,5,1,косметический,1.0,0.0,1.0,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
6,25,Новокосино,1,3,1,евроремонт,1.0,0.0,0.0,1.25,Новокосино,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,30,Головинский,1,5,1,косметический,0.0,0.0,0.0,1.25,Речной вокзал,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,40,Некрасовка,6,17,1,косметический,1.0,0.0,1.0,8,Выхино,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
"9,""38,6"",,6,17,1,косметический,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0"
10,31,Бутырский,5,5,1,косметический,1.0,0.0,0.0,0.5833333333333334,Тимирязевская,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,47,Рязановское,2,5,2,косметический,1.0,0.0,1.0,25,Бульвар Дмитрия Донского,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
12,34,Некрасовка,6,17,1,косметический,1.0,0.0,1.0,5,Выхино,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
13,44,Ивановское,5,9,2,косметический,0.0,0.0,0.0,1.25,Новогиреево,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
14,30,Гольяново,8,9,1,косметический,1.0,0.0,0.0,2.0833333333333335,Щелковская,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,39,Некрасовка,14,17,1,косметический,0.0,0.0,1.0,10,Новокосино,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
16,40,CTYPE,14,17,1,косметический,0.0,0.0,1.0,10,Выхино,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
17,38,Ховрино,1,9,1,косметический,1.0,0.0,1.0,1.6666666666666667,Речной вокзал,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,38,Южное Бутово,16,16,1,косметический,0.0,0.0,1.0,7,Бульвар Дмитрия Донского,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,40,Десёновское,9,17,1,косметический,0.0,0.0,1.0,20,Теплый Стан,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
20,32,Метрогородок,1,5,1,косметический,1.0,0.0,0.0,2,Бульвар Рокоссовского,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,34,Дмитровский,6,9,1,косметический,1.0,0.0,1.0,9,Петровско-Разумовская,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22,39,Некрасовка,8,16,1,косметический,1.0,0.0,1.0,5,Выхино,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
23,44,Алексеевский,7,8,1,косметический,1.0,0.0,0.0,1.9166666666666667,ВДНХ,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
24,40,Сосенское,17,18,1,косметический,1.0,0.0,1.0,10,Теплый Стан,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
25,21,Ярославский,3,5,1,косметический,1.0,0.0,0.0,15,ВДНХ,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,34,Головинский,3,5,1,косметический,1.0,0.0,1.0,0.9166666666666666,Водный стадион,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
27,42,CTYPE,2,17,1,евроремонт,1.0,0.0,1.0,3,Теплый Стан,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,28,Гольяново,4,9,1,косметический,1.0,0.0,0.0,2.4166666666666665,Щелковская,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,40,Южное Бутово,6,16,1,косметический,1.0,0.0,1.0,10,Бульвар Дмитрия Донского,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
30,22,Марфино,4,5,1,косметический,1.0,0.0,0.0,0.8333333333333334,Владыкино,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
31,22,Марфино,4,5,1,косметический,1.0,0.0,0.0,0.9166666666666666,Петровско-Разумовская,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
32,41,Западное Дегунино,5,12,1,косметический,1.0,0.0,1.0,5,Петровско-Разумовская,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,37,Бирюлево Восточное,2,17,1,косметический,1.0,0.0,1.0,,Царицыно,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,32,Южное Бутово,13,14,1,косметический,0.0,0.0,1.0,10,Бульвар Дмитрия Донского,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
35,32,Головинский,8,9,1,косметический,1.0,0.0,1.0,3,Речной вокзал,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,34,Тимирязевский,4,9,1,косметический,1.0,0.0,0.0,0.6666666666666666,Петровско-Разумовская,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
37,41,Дмитровский,6,16,1,евроремонт,1.0,0.0,1.0,7,Петровско-Разумовская,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
38,36,Бирюлево Западное,7,12,1,косметический,1.0,0.0,1.0,5,Пражская,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
39,35,Бибирево,10,16,1,косметический,1.0,0.0,1.0,1.5,Алтуфьево,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
40,35,Косино-Ухтомский,1,5,1,косметический,1.0,0.0,0.0,1.75,Лермонтовский проспект,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
41,33,Северное Измайлово,7,9,1,косметический,1.0,0.0,1.0,0.8333333333333334,Щелковская,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
42,38,Ново-Переделкино,9,14,1,косметический,1.0,0.0,1.0,15,Юго-Западная,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
43,38,,6,18,1,евроремонт,0.0,0.0,1.0,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
44,36,Кузьминки,4,5,1,косметический,1.0,0.0,1.0,1.0,Рязанский проспект,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
45,35,Западное Дегунино,8,16,1,косметический,1.0,0.0,1.0,5,Петровско-Разумовская,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,39,CTYPE,12,17,1,косметический,1.0,0.0,1.0,20,Теплый Стан,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
47,55,,15,17,2,косметический,1.0,0.0,1.0,20,Теплый Стан,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
48,26,Царицыно,6,9,1,косметический,1.0,0.0,0.0,0.8333333333333334,Царицыно,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
49,38,Орехово-Борисово Южное,7,9,1,косметический,1.0,0.0,0.0,1.25,Домодедовская,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,34,Южное Бутово,8,10,1,косметический,1.0,0.0,1.0,0.8333333333333334,Бунинская аллея,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
51,38,Северный,10,16,1,косметический,1.0,0.0,1.0,15,Алтуфьево,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
52,38,Северное Измайлово,1,12,1,косметический,1.0,0.0,0.0,0.8333333333333334,Щелковская,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
53,55,Западное Дегунино,7,22,2,косметический,1.0,0.0,1.0,5,Петровско-Разумовская,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
54,146,Тверской,9,14,4,евроремонт,1.0,1.0,1.0,0.16666666666666666,Белорусская,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,78,Зюзино,7,17,3,евроремонт,1.0,0.0,1.0,0.25,Нахимовский проспект,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
56,30,Кузьминки,3,5,1,косметический,1.0,0.0,1.0,1.5,Кузьминки,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
57,36,Кузьминки,3,5,1,косметический,1.0,0.0,1.0,1.25,Кузьминки,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
58,35,Тимирязевский,2,5,1,косметический,1.0,0.0,0.0,0.6666666666666666,Тимирязевская,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59,40,Отрадное,6,9,1,косметический,1.0,0.0,0.0,0.8333333333333334,Отрадное,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
60,34,Вешняки,7,9,1,косметический,1.0,0.0,1.0,1.25,Новогиреево,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,40,Южное Бутово,4,12,1,косметический,1.0,0.0,1.0,0.75,Улица Горчакова,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
62,38,Кузьминки,3,5,1,,1.0,0.0,1.0,1.25,Кузьминки,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
63,36,Рязанский,5,8,1,косметический,1.0,0.0,1.0,1.5,Рязанский проспект,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,38,Головинский,3,5,1,косметический,1.0,0.0,1.0,1.25,Водный стадион,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,38,Гольяново,11,12,1,косметический,1.0,0.0,1.0,0.8333333333333334,Щелковская,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
66,36,Новогиреево,6,16,1,косметический,1.0,0.0,1.0,1.0,Перово,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,42,Ясенево,4,22,1,косметический,1.0,0.0,1.0,0.16666666666666666,Ясенево,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,42,Южное Тушино,5,12,1,косметический,1.0,0.0,1.0,1.5833333333333333,Сходненская,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
69,31,Царицыно,1,5,1,косметический,0.0,0.0,0.0,0.8333333333333334,Кантемировская,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
70,35,Северное Измайлово,9,14,1,косметический,1.0,0.0,1.0,0.8333333333333334,Щелковская,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71,34,Вешняки,4,9,1,косметический,1.0,0.0,0.0,1.1666666666666667,Выхино,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
72,36,Бабушкинский,6,12,1,косметический,1.0,0.0,1.0,0.8333333333333334,Свиблово,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
73,35,Гольяново,3,9,1,косметический,1.0,0.0,0.0,5,Щелковская,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,39,Бескудниковский,17,17,1,косметический,1.0,0.0,1.0,10,Петровско-Разумовская,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,40,Ново-Переделкино,1,17,1,косметический,1.0,0.0,0.0,,Юго-Западная,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,38,CTYPE,2,3,1,евроремонт,1.0,0.0,1.0,2.25,Бунинская аллея,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,30,Очаково-Матвеевское,5,12,1,косметический,1.0,0.0,1.0,2.0833333333333335,Юго-Западная,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
78,32,Гольяново,8,9,1,косметический,1.0,0.0,1.0,1.0,Щелковская,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
