ID_rest;Rest_name;Cuisine;Price;Tags;Adress
/msk/restaurant/15958/;Beermarket;Пивные рестораны;700–1500 рублей;Немецкая кухня,Бургеры,Стейки,Европейская кухня,Пивные рестораны,Банкетные залы,Караоке,Ресторанная программа Visa Premium;Москва, Бутырская, 69
/msk/restaurant/218258/;Grammy's;Караоке;1500–2500 рублей;Европейская кухня,Бары,Караоке;Москва, Кутузовский просп., 2/1, стр. 6, в Конгресс-парке гостиницы «Radisson Royal Москва»
/msk/restaurant/19998/;Via Романо;Итальянская кухня;1500–2500 рублей;Итальянская кухня,Пицца,Паста,Европейская кухня;Москва, Лавочкина, 34
/msk/restaurant/75769/; Lao Lee Caf?;Вьетнамская кухня;До 700 рублей;Вьетнамская кухня,Вок,Кафе,Стритфуд,Лучшие рестораны в Москве,Лучшие гастрономиче­ские стартапы,Рестораны с паназиатской кухней;Москва, Миусская пл., 9, стр. 11
/msk/restaurant/42248/; Double B;Кофейни;До 700 рублей;Кофейни,Лучшие рестораны в Москве,Где пить кофе;Москва, Милютинский пер., 3
/msk/restaurant/60163/;Лейка;Кафе;700–1500 рублей;Итальянская кухня,Русская кухня,Бургеры,Паста,Европейская кухня,Кафе;Москва, Головинское ш., 5, ТЦ «Водный», 3 этаж
/msk/restaurant/74038/;Let's Rock Bar;Бары;700–1500 рублей;Бургеры,Паста,Сэндвичи,Кальяны,Европейская кухня,Бары,Коктейльная карта,Ресторанная программа Visa Premium;Москва, Кузнецкий Мост, 4
/msk/restaurant/47066/;Винный базар на Комсомольском;0;0;Кафе,Винотеки,Где пить вино,Где пить российские вина;Москва, Комсомольский просп., 14/1, корп. 2
/msk/restaurant/140263/;Kutuzovskiy 5;Русская кухня;1500–2500 рублей;Русская кухня,Пироги,Ресторанная программа Visa Premium,Где пить горячий алкоголь;Москва, Кутузовский просп., 5
/msk/restaurant/47865/;Натахтари на Маросейке;Грузинская кухня;700–1500 рублей;Грузинская кухня,Хинкали,Хачапури,Кафе,Лучшие рестораны со скидкой по нашей карте,Лучшие грузинские рестораны Москвы,Где отметить праздник;Москва, Маросейка, 6/8, стр. 1
/msk/restaurant/40916/;Lumberjack Bar;Бары;1500–2500 рублей;Американская кухня,Бургеры,Сэндвичи,Европейская кухня,Бары,Рюмочные,Винотеки,Коктейльная карта,Лучшие бары Москвы,Где есть бургеры;Москва, Б.Спасоглинищевский пер., 3, стр. 5
/msk/restaurant/39327/; Энтузиаст;Кафе;До 700 рублей;Американская кухня,Бургеры,Сэндвичи,Кафе,Концерты,Лучшие рестораны в Москве,Где пить пиво,Где пить крафтовое пиво;Москва, Столешников пер., 7, стр. 5
/msk/restaurant/61187/;Mitzva Bar;Бары;700–1500 рублей;Еврейская кухня,Бары,Лучшие бары Москвы,«Барная карта» радио «Серебряный дождь»,Где есть форшмак,Рестораны с еврейской кухней,Рестораны, в которых надо бронировать стол;Москва, Пятницкая, 3/4, стр. 1
/msk/restaurant/44778/;Kon-Tiki;Бары;700–1500 рублей;Паста,Стейки,Европейская кухня,Карибская кухня,Латиноамериканская кухня,Бары,Коктейльная карта;Москва, Рождественка, 5/7, стр. 2
/msk/restaurant/42305/;Дарбази;Грузинская кухня;1500–2500 рублей;Грузинская кухня,Хинкали,Хачапури,Кафе,Куда пойти с бабушкой и дедушкой,Лучшие грузинские рестораны Москвы,Где отметить праздник;Москва, Николоямская, 16/2
